Gene,Non-unique Gene name,Annotation,L_plantarum,B_animalis,L_brevis
group_5675,,hypothetical protein;Putative potassium transport system protein Kup 1,JLGHJK_00978;JLGHJK_00979,IGABOM_00342,
group_5674,,hypothetical protein;8-oxo-dGTP diphosphatase,JLGHJK_01810,IGABOM_01206,
group_5673,,hypothetical protein;Gram-positive cocci surface proteins LPxTG domain-containing protein,JLGHJK_01339;JLGHJK_01340,IGABOM_00792,
group_5672,,Extracellular protein;hypothetical protein;Uncharacterized oxidoreductase Lmo0432,JLGHJK_00138,IGABOM_02570;IGABOM_02569,
group_5671,,hypothetical protein;Poly(Glycerol-phosphate) alpha-glucosyltransferase,JLGHJK_01698,IGABOM_01096;IGABOM_01097,
group_5670,,GNAT family N-acetyltransferase,JLGHJK_03042,IGABOM_02206,
group_5669,,hypothetical protein,JLGHJK_03128,IGABOM_02285,
group_5668,,Conjugation protein,JLGHJK_03466,,PHDJFC_03039
group_5666,,1-deoxy-D-xylulose-5-phosphate reductoisomerase protein,JLGHJK_00660,IGABOM_03181,
group_5665,,MucBP domain-containing protein,JLGHJK_01372,IGABOM_00809,
group_5664,,hypothetical protein,JLGHJK_00624,IGABOM_03148,
group_5663,,hypothetical protein;SRPBCC family protein,JLGHJK_00155,IGABOM_02586,
group_5662,,hypothetical protein,JLGHJK_02026,IGABOM_01375,
group_5661,,hypothetical protein,JLGHJK_02911,IGABOM_02082,
group_5660,,hypothetical protein;ABC transporter ATP-binding and permeaseprotein,JLGHJK_02963,IGABOM_02140;IGABOM_02141,
group_5659,,Methyltransferase SAM-dependent,JLGHJK_01701,IGABOM_01100,
group_5658,,hypothetical protein,JLGHJK_01395,IGABOM_00823,
group_5657,,Ferritin/DPS protein domain-containing protein,JLGHJK_00421,IGABOM_02899,
group_5656,,Tyr recombinase domain-containing protein,JLGHJK_02922,IGABOM_02101,
group_5655,,hypothetical protein;Coenzyme A biosynthesis bifunctional protein CoaBC,JLGHJK_01989;JLGHJK_01990,IGABOM_01343,
group_5654,,hypothetical protein;Prophage protein,JLGHJK_01615,IGABOM_01022,
group_5653,,hypothetical protein;Octaprenyl-diphosphate synthase / Dimethylallyltransferase (Farnesyldiphosphate synthase)/ Geranyltranstransferase,JLGHJK_01978;JLGHJK_01977,IGABOM_01332,
group_5652,,Integral membrane protein,JLGHJK_00290,IGABOM_02790,
group_5651,,N-acetyltransferase domain-containing protein;Integral membrane protein;hypothetical protein,JLGHJK_03289,IGABOM_02429;IGABOM_02428,
group_5650,,hypothetical protein,JLGHJK_03473,,PHDJFC_02905
group_5649,,hypothetical protein,JLGHJK_02919,IGABOM_02095,
group_5648,,hypothetical protein;Lipoprotein,JLGHJK_02103,IGABOM_01440,
group_5646,,Nickase,JLGHJK_03472,,PHDJFC_03033
group_5645,,hypothetical protein,JLGHJK_03470,,PHDJFC_03035
group_5644,,Gram-positive cocci surface proteins LPxTG domain-containing protein;putative cell surface protein;hypothetical protein,JLGHJK_02022,IGABOM_01371;IGABOM_01370,
group_5643,,hypothetical protein;L(+)-tartrate dehydratase subunit beta,JLGHJK_01510,IGABOM_00926,
group_5642,,Cation transport protein;Tartrate transport protein,JLGHJK_01508,IGABOM_00924,
group_5641,,Alpha-L-rhamnosidase;hypothetical protein,JLGHJK_01360,IGABOM_00803,
group_5640,,CPBP family intramembrane metalloprotease,JLGHJK_01336,IGABOM_00789,
group_5639,,Acetyl esterase (Promiscuous),JLGHJK_00492,IGABOM_02954,
group_5638,lysM,LysM domain-containing protein,JLGHJK_00812,IGABOM_00168,
group_5637,,hypothetical protein;Cell wall protein IFF6,JLGHJK_00165;JLGHJK_00166,IGABOM_02595,
group_5636,,hypothetical protein;Integrase/recombinase,JLGHJK_01647;JLGHJK_01646,IGABOM_01052,
group_5635,,hypothetical protein;Putative uroporphyrin-III c-methyltransferase,JLGHJK_00341;JLGHJK_00340,IGABOM_02834,
group_5634,,hypothetical protein;Arginine--tRNA ligase,JLGHJK_01768;JLGHJK_01769,IGABOM_01158,
group_5633,,hypothetical protein;Drug resistance transport protein major facilitator subfamily (MFS) EmrB/QacA subfamily,JLGHJK_02309;JLGHJK_02308,IGABOM_01608,
group_5632,,hypothetical protein;Phosphoglucomutase,JLGHJK_01177,IGABOM_00649;IGABOM_00650,
group_5631,,Pseudouridine synthase,JLGHJK_03090,IGABOM_02249,
group_5630,,Thioredoxin domain-containing protein,JLGHJK_03461,,PHDJFC_02964
group_5629,,ATP-binding component of an ABC superfamily transporter,JLGHJK_02024,IGABOM_01373,
group_5628,,hypothetical protein;HIRAN domain-containing protein,JLGHJK_00643;JLGHJK_00644,IGABOM_03165,
group_5627,,Membrane-bound protease CAAX family,JLGHJK_01737,IGABOM_01130,
group_5626,,DUF302 domain-containing protein,JLGHJK_03083,IGABOM_02244,
group_5625,,Extracellular protein,JLGHJK_03080,IGABOM_02241,
group_5624,,hypothetical protein,JLGHJK_00685,IGABOM_03202,
group_5623,,Transcriptional regulator;hypothetical protein,JLGHJK_02517,IGABOM_01745,
group_5622,,hypothetical protein,JLGHJK_01616,IGABOM_01023,
group_5621,,hypothetical protein;Extracellular protein,JLGHJK_00805;JLGHJK_00804,IGABOM_00162,
group_5620,,Membrane-bound protease rhomboid family,JLGHJK_01947,IGABOM_01302,
group_5619,,SSD domain-containing protein,JLGHJK_00802,IGABOM_00160,
group_5618,,hypothetical protein;HTH lysR-type domain-containing protein,JLGHJK_03296,IGABOM_02434,
group_5617,,HTH marR-type domain-containing protein,JLGHJK_00652,IGABOM_03174,
group_5616,;nrnA,hypothetical protein;Bifunctional oligoribonuclease/PAP phosphatase NrnA,JLGHJK_01756,IGABOM_01150;IGABOM_01149,
group_5615,,hypothetical protein;YbhB/YbcL family Raf kinase inhibitor-like protein,JLGHJK_00141,IGABOM_02573,
group_5614,;marR,Transcriptional regulator;MarR family transcriptional regulator [Lactobacillus sp],JLGHJK_00083,IGABOM_02518,
group_5613,,hypothetical protein,JLGHJK_00128,IGABOM_02560,
group_5612,,hypothetical protein;Phosphoribosylamine--glycine ligase,JLGHJK_03149;JLGHJK_03150,IGABOM_02303,
group_5611,,hypothetical protein;Penicillin V acylase family protein,JLGHJK_00600,IGABOM_03124;IGABOM_03125,
group_5610,,Zinc-containing alcohol dehydrogenase/quinone oxidoreductase,JLGHJK_00614,IGABOM_03139,
group_5609,,SGNH hydrolase-type esterase domain-containing protein;hypothetical protein,JLGHJK_00414;JLGHJK_00415,IGABOM_02893,
group_5608,,hypothetical protein;Cell surface hydrolase membrane-bound,JLGHJK_00929;JLGHJK_00930,IGABOM_00306,
group_5607,,Cell surface hydrolase,JLGHJK_02319,IGABOM_01630,
hisF,hisF,Imidazole glycerol phosphate synthase subunit HisF,JLGHJK_03024,IGABOM_02186,
group_5606,,Permease IIC component,JLGHJK_00794,IGABOM_00152,
group_5605,,hypothetical protein,JLGHJK_02186,IGABOM_01512,
group_5604,,hypothetical protein;ABC transporter permease,JLGHJK_01835;JLGHJK_01836,IGABOM_01227,
group_5603,,4-carboxymuconolactone decarboxylase,JLGHJK_03276,IGABOM_02418,
group_5602,dnaD,DnaD domain-containing protein,JLGHJK_02906,IGABOM_02076,
group_5601,,hypothetical protein,JLGHJK_01377,IGABOM_00811,
ubiX,;ubiX,hypothetical protein;Flavin prenyltransferase UbiX,JLGHJK_00779,IGABOM_00138;IGABOM_00137,
group_5600,,Cof-type HAD-IIB family hydrolase,JLGHJK_02260,IGABOM_01570,
group_5599,,MFS transporter;Major facilitator superfamily (MFS) profile domain-containing protein,JLGHJK_02189,IGABOM_01515,
group_5598,,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,JLGHJK_00639,IGABOM_03161,
group_5597,,hypothetical protein;CPBP family intramembrane metalloprotease,JLGHJK_00809,IGABOM_00166,
group_5596,,NAD(P)H-binding protein,JLGHJK_00234,IGABOM_02738,
group_5595,,putative ketoamine kinase lp_1983,JLGHJK_02368,IGABOM_01673,
group_5594,,HTH marR-type domain-containing protein,JLGHJK_00338,IGABOM_02832,
group_5593,,hypothetical protein;cysteine-S-conjugate beta-lyase,JLGHJK_00004;JLGHJK_00005,IGABOM_02459,
group_5592,,LPXTG cell wall anchor domain-containing protein,JLGHJK_03048,IGABOM_02212,
group_5591,,Prophage protein,JLGHJK_02909,IGABOM_02079,
group_5590,,hypothetical protein;Hydrolase,JLGHJK_02989;JLGHJK_02988,IGABOM_02158,
group_5589,,Acetyltransferase GNAT family,JLGHJK_00612,IGABOM_03137,
group_5588,,DUF3658 domain-containing protein;hypothetical protein,JLGHJK_00610,IGABOM_03135,
group_5587,,hypothetical protein;Extracellular protein,JLGHJK_00131,IGABOM_02563,
group_5586,,Exodeoxyribonuclease,JLGHJK_01225,IGABOM_00693,
group_5585,,YdhG-like domain-containing protein,JLGHJK_03034,IGABOM_02196,
group_5584,,Heptaprenyl diphosphate synthase component II,JLGHJK_01558,IGABOM_00963,
group_5583,,hypothetical protein,JLGHJK_02438,IGABOM_01729,
group_5582,,WxL domain-containing protein,JLGHJK_00387,IGABOM_02873,
group_5581,,Phorbol-ester/DAG-type domain-containing protein,JLGHJK_00848,IGABOM_00204,
group_5580,,Zinc-ribbon domain-containing protein,JLGHJK_00059,IGABOM_02503,
group_5579,,hypothetical protein,JLGHJK_01797,IGABOM_01182,
group_5578,,protein adenylyltransferase,JLGHJK_00461,IGABOM_02926,
group_5577,,hypothetical protein,JLGHJK_03047,IGABOM_02210,
group_5576,,hypothetical protein,JLGHJK_00462,IGABOM_02927,
group_5575,,Indole-3-glycerol phosphate synthase,JLGHJK_02032,IGABOM_01380,
group_5574,,hypothetical protein;L(+)-tartrate dehydratase subunit alpha,JLGHJK_01512;JLGHJK_01511,IGABOM_00927,
group_5573,,TetR/AcrR family transcriptional regulator;hypothetical protein,JLGHJK_01252,IGABOM_00705,
group_5572,,Phosphoribosyl transferase domain protein,JLGHJK_01677,IGABOM_01080,
group_5571,,Serine aminopeptidase S33 domain-containing protein,JLGHJK_00063,IGABOM_02507,
group_5570,;uspA,hypothetical protein;Nucleotide-binding protein universal stress protein UspA family,JLGHJK_01710,IGABOM_01107,
group_5569,prsA,Foldase protein PrsA 2,JLGHJK_00201,IGABOM_02707,
group_5568,,HTH merR-type domain-containing protein,JLGHJK_00746,IGABOM_00117,
group_5567,,hypothetical protein,JLGHJK_02578,IGABOM_01793,
bacF,bacF,Transaminase BacF,JLGHJK_00849,IGABOM_00209,
sdpI,sdpI,SdpI family protein,JLGHJK_01928,IGABOM_01284,
group_5566,,hypothetical protein,JLGHJK_00822,IGABOM_00178,
group_5565,,Riboflavin synthase,JLGHJK_01813,IGABOM_01209,
group_5564,ftsK,DNA translocase FtsK,JLGHJK_01841,IGABOM_01233,
group_5563,,hypothetical protein;Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 1,JLGHJK_01059,IGABOM_00471,
group_5562,,LD-carboxypeptidase C-terminal domain-containing protein;Peptidase S66,JLGHJK_02150,IGABOM_01481,
group_5561,,hypothetical protein,JLGHJK_02148,IGABOM_01479,
group_5560,,XTP/dITP diphosphatase,JLGHJK_00295,IGABOM_02794,
group_5559,,hypothetical protein;Acetoin ABC transporter permease,JLGHJK_00836,IGABOM_00193,
group_5558,,hypothetical protein;Sodium/sulfate symport protein,JLGHJK_01762,IGABOM_01152,
group_5557,,hypothetical protein,JLGHJK_00012,IGABOM_02466,
group_5556,merR,Transcription regulator MerR family,JLGHJK_00788,IGABOM_00147,
group_5555,,Gamma-D-glutamyl-meso-diaminopimelate peptidase,JLGHJK_00398,IGABOM_02882,
group_5554,,hypothetical protein;Alpha-14 glucan phosphorylase,JLGHJK_00569;JLGHJK_00568,IGABOM_03090,
group_5553,,Protein-tyrosine phosphatase,JLGHJK_00268,IGABOM_02773,
group_5552,,hypothetical protein;DUF4811 domain-containing protein,JLGHJK_03264,IGABOM_02406,
group_5551,,HTH cro/C1-type domain-containing protein,JLGHJK_00157,IGABOM_02587,
group_5550,cscD,Cell surface protein CscD familyLPXTG-motif cell wall anchor,JLGHJK_00090,IGABOM_02525,
group_5549,,Phosphoribosylglycinamide formyltransferase,JLGHJK_03152,IGABOM_02305,
group_5548,,hypothetical protein;Extracellular protein,JLGHJK_01633;JLGHJK_01634,IGABOM_01041,
group_5547,,hypothetical protein;PTS system mannose-specific IIA component,JLGHJK_02796;JLGHJK_02795,IGABOM_01981,
group_5546,,Phage protein,JLGHJK_02931,IGABOM_02112,
group_5545,,hypothetical protein;Integral membrane protein,JLGHJK_03075;JLGHJK_03074,IGABOM_02236,
group_5544,,hypothetical protein,JLGHJK_02663,IGABOM_01862,
group_5543,,hypothetical protein,JLGHJK_01384,IGABOM_00816,
group_5542,,LamG-like jellyroll fold domain-containing protein;hypothetical protein,JLGHJK_00112,IGABOM_02546,
group_5541,,hypothetical protein,JLGHJK_00609,IGABOM_03134,
group_5540,,hypothetical protein,JLGHJK_00278,IGABOM_02778,
dprA,dprA;,DNA protecting protein DprA;hypothetical protein,JLGHJK_02239,IGABOM_01550,
group_5539,,Aldose 1-epimerase,JLGHJK_02113,IGABOM_01448,
group_5538,,GIY-YIG nuclease family protein,JLGHJK_01365,IGABOM_00805,
group_5537,,DUF2187 domain-containing protein,JLGHJK_01719,IGABOM_01116,
group_5536,,N-acetyltransferase domain-containing protein,JLGHJK_03125,IGABOM_02282,
group_5535,,hypothetical protein;Glycosyltransferase 2-like domain-containing protein,JLGHJK_02580,IGABOM_01794,
group_5534,,Glucokinase / transcription regulator ROK family;ROK family protein,JLGHJK_00080,IGABOM_02516,
group_5533,,ABC transporter ATP-binding protein;hypothetical protein;Multidrug resistance ABC transporter ATP-binding and permease protein,JLGHJK_00081;JLGHJK_00082,IGABOM_02517,
group_5532,;bcaP,hypothetical protein;Branched-chain amino acid permease BcaP;Amino acid permease,JLGHJK_00277;JLGHJK_00276,IGABOM_02777,
group_5531,,Lytic polysaccharide monooxygenase,JLGHJK_02082,IGABOM_01422,
ydcE,;ydcE,mRNA interferase;Programmed cell death toxin YdcE,JLGHJK_00977,IGABOM_00341,
group_5530,,Glycosyl transferase family 1,JLGHJK_01697,IGABOM_01095,
group_5529,,hypothetical protein;Large-conductance mechanosensitive channel,JLGHJK_02918,IGABOM_02094,
group_5528,,ABC transporter permease,JLGHJK_02025,IGABOM_01374,
group_5527,,hypothetical protein;DUF916 domain-containing protein,JLGHJK_00388,IGABOM_02874,
group_5526,,hypothetical protein;Integral membrane protein,JLGHJK_02202;JLGHJK_02203,IGABOM_01524,
group_5525,,hypothetical protein;NADH oxidase,JLGHJK_01163,IGABOM_00638,
group_5524,,hypothetical protein;L-lactate permease,JLGHJK_02201;JLGHJK_02200,IGABOM_01523,
group_5523,,Glycosyl hydrolase family 8,JLGHJK_01164,IGABOM_00639,
group_5522,,hypothetical protein;Transmembrane protein,JLGHJK_01165;JLGHJK_01166,IGABOM_00640,
ethD,;ethD,hypothetical protein;EthD domain-containing protein,JLGHJK_02199,IGABOM_01522,
group_5521,,hypothetical protein,JLGHJK_02198,IGABOM_01521,
group_5520,,hypothetical protein;Carbamoyl phosphate synthase arginine-specific small chain,JLGHJK_00988,IGABOM_00347;IGABOM_00348,
group_5519,,hypothetical protein;DUF2334 domain-containing protein,JLGHJK_01167,IGABOM_00641;IGABOM_00642,
group_5518,,hypothetical protein;Amino acid permease/ SLC12A domain-containing protein,JLGHJK_02197;JLGHJK_02196,IGABOM_01520,
group_5517,,2-hydroxy-3-oxopropionate reductase,JLGHJK_03015,IGABOM_02179,
